AGNO;RBD;DGV_RBD;NOM_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;COD_REG_RBD;NOM_REG_RBD_A;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;ESTADO_ESTAB;MAT_HOM_1;MAT_MUJ_1;MAT_ENS_1;MAT_SI_2;MAT_HOM_2;MAT_MUJ_2;MAT_ENS_2;MAT_HOM_3;MAT_MUJ_3;MAT_ENS_3;MAT_SI_4;MAT_HOM_4;MAT_MUJ_4;MAT_ENS_4;MAT_SI_5;MAT_HOM_5;MAT_MUJ_5;MAT_ENS_5;MAT_HOM_6;MAT_MUJ_6;MAT_ENS_6;MAT_HOM_7;MAT_MUJ_7;MAT_ENS_7;MAT_HOM_8;MAT_MUJ_8;MAT_ENS_8;MAT_HOM_TOT;MAT_MUJ_TOT;MAT_SI_TOT;MAT_TOTAL;CUR_SIM_01;CUR_SIM_02;CUR_SIM_03;CUR_SIM_04;CUR_SIM_05;CUR_SIM_06;CUR_SIM_07;CUR_SIM_08;CUR_SIM_TOT;CUR_COMB_01;CUR_COMB_02;CUR_COMB_TOT
2020;20264;9;ESC.ESPECIAL LENGUAJE MANITOS PINTADAS;3;2;0;9;ARAUC;92;9206;LOS SAUCES;91;MALLECO;1;0;0;0;0;0;0;0;0;0;0;0;51;39;90;0;0;0;0;0;0;0;0;0;0;0;0;0;51;39;0;90;0;0;0;6;0;0;0;0;6;0;0;0
2020;20265;7;COLEGIO LOS ROBLES;3;2;0;9;ARAUC;91;9101;TEMUCO;92;CAUTÍN NORTE;1;55;41;96;0;284;224;508;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;339;265;0;604;4;16;0;0;0;0;0;0;20;0;0;0
2020;20266;5;LICEO BICENTENARIO DE TEMUCO;2;1;0;9;ARAUC;91;9101;TEMUCO;92;CAUTÍN NORTE;1;0;0;0;0;61;79;140;0;0;0;0;0;0;0;0;98;182;280;0;0;0;0;0;0;0;0;0;159;261;0;420;0;4;0;0;8;0;0;0;12;0;0;0
2020;20267;3;ESCUELA DE PÁRVULOS MONTE SIÓN;3;2;0;9;ARAUC;91;9101;TEMUCO;92;CAUTÍN NORTE;1;58;61;119;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;61;0;119;4;0;0;0;0;0;0;0;4;0;0;0
2020;20268;1;ESCUELA ESPECIAL DE LENGUAJE NIÑO JESUS;3;2;0;9;ARAUC;91;9109;LONCOCHE;93;CAUTÍN SUR;1;0;0;0;0;0;0;0;0;0;0;0;74;39;113;0;0;0;0;0;0;0;0;0;0;0;0;0;74;39;0;113;0;0;0;10;0;0;0;0;10;0;0;0
2020;20270;3;COLEGIO DE ADULTOS HACIA UN NUEVO HORIZONTE;3;2;0;9;ARAUC;91;9101;TEMUCO;92;CAUTÍN NORTE;1;0;0;0;0;0;0;0;7;7;14;0;0;0;0;0;0;0;0;77;55;132;0;0;0;0;0;0;84;62;0;146;0;0;1;0;0;8;0;0;9;0;0;0
2020;20271;1;ESCUELA ESPECIAL DE LENGUAJE SUYAI VILCÚN;3;2;0;9;ARAUC;91;9119;VILCÚN;92;CAUTÍN NORTE;1;0;0;0;0;0;0;0;0;0;0;0;54;57;111;0;0;0;0;0;0;0;0;0;0;0;0;0;54;57;0;111;0;0;0;8;0;0;0;0;8;0;0;0
2020;20273;8;ESCUELA ESPECIAL DE LENGUAJE ALUN SUYAI;3;2;0;9;ARAUC;91;9112;PADRE LAS CASAS;93;CAUTÍN SUR;1;0;0;0;0;0;0;0;0;0;0;0;55;26;81;0;0;0;0;0;0;0;0;0;0;0;0;0;55;26;0;81;0;0;0;6;0;0;0;0;6;0;0;0
2020;20274;6;COLEGIO FOR LIFE;3;2;0;9;ARAUC;91;9101;TEMUCO;92;CAUTÍN NORTE;1;12;14;26;0;179;180;359;0;0;0;0;0;0;0;0;90;77;167;0;0;0;0;0;0;0;0;0;281;271;0;552;1;8;0;0;4;0;0;0;13;0;0;0
2020;20275;4;ESCUELA ESPECIAL DE LENGUAJE GIRASOLES;3;2;0;9;ARAUC;91;9120;VILLARRICA;93;CAUTÍN SUR;3;0;0;0;0;0;0;0;0;0;0; ;0;0;0; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;20276;2;ESCUELA ESP. DE LENGUAJE MI MUNDO EN PALABRAS;3;2;0;9;ARAUC;91;9108;LAUTARO;92;CAUTÍN NORTE;1;0;0;0;0;0;0;0;0;0;0;0;84;55;139;0;0;0;0;0;0;0;0;0;0;0;0;0;84;55;0;139;0;0;0;10;0;0;0;0;10;0;0;0
2020;20277;0;ESCUELA ESPECIAL HOSPITALARIA SAN EXPEDITO;3;2;0;9;ARAUC;91;9111;NUEVA IMPERIAL;92;CAUTÍN NORTE;1;6;6;12;0;18;16;34;0;0;0;0;0;0;0;0;10;6;16;0;0;0;0;0;0;0;0;0;34;28;0;62;2;8;0;0;4;0;0;0;14;0;0;0
2020;20278;9;ESCUELA ESPECIAL HOSPITALARIA REVIVIR;3;2;0;9;ARAUC;91;9120;VILLARRICA;93;CAUTÍN SUR;1;7;3;10;0;21;7;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;10;0;38;0;0;0;0;0;0;0;0;0;1;1;2
2020;20279;7;COLEGIO INTERCULTURAL CERRO LONCOCHE;3;2;1;9;ARAUC;91;9112;PADRE LAS CASAS;93;CAUTÍN SUR;1;0;0;0;0;13;11;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;11;0;24;0;0;0;0;0;0;0;0;0;0;3;3
2020;20280;0;LICEO NGEN;3;2;0;9;ARAUC;91;9104;CURARREHUE;93;CAUTÍN SUR;3;0;0;0;0;0;0;0;0;0;0; ;0;0;0; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;20281;9;COLEGIO ARRAYAN;3;2;1;9;ARAUC;91;9119;VILCÚN;92;CAUTÍN NORTE;1;13;13;26;0;79;87;166;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92;100;0;192;0;6;0;0;0;0;0;0;6;1;0;1
2020;20282;7;COLEGIO CUMBRE DE SAN RAMON;3;2;1;9;ARAUC;91;9112;PADRE LAS CASAS;93;CAUTÍN SUR;1;15;20;35;0;111;82;193;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;126;102;0;228;2;8;0;0;0;0;0;0;10;0;0;0
2020;20283;5;ESCUELA ESPECIAL DE LENGUAJE RAYEN;3;2;0;9;ARAUC;91;9107;GORBEA;93;CAUTÍN SUR;1;0;0;0;0;0;0;0;0;0;0;0;33;34;67;0;0;0;0;0;0;0;0;0;0;0;0;0;33;34;0;67;0;0;0;6;0;0;0;0;6;0;0;0
2020;20284;3;ESCUELA ESPECIAL DE LENGUAJE WE LIWEN;3;2;1;9;ARAUC;91;9118;TOLTÉN;93;CAUTÍN SUR;1;0;0;0;0;0;0;0;0;0;0;0;42;23;65;0;0;0;0;0;0;0;0;0;0;0;0;0;42;23;0;65;0;0;0;5;0;0;0;0;5;0;0;0
2020;20285;1;COLEGIO EMANUEL;3;2;1;9;ARAUC;91;9121;CHOLCHOL;92;CAUTÍN NORTE;1;8;6;14;0;39;28;67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47;34;0;81;2;6;0;0;0;0;0;0;8;0;0;0
